,date,price
0,2022-05-01,105.41
1,2022-04-30,105.41
2,2022-04-29,105.41
3,2022-04-28,105.41
4,2022-04-27,105.41
5,2022-04-26,105.41
6,2022-04-25,105.41
7,2022-04-24,105.41
8,2022-04-23,105.41
9,2022-04-22,105.41
10,2022-04-21,105.41
11,2022-04-20,105.41
12,2022-04-19,105.41
13,2022-04-18,105.41
14,2022-04-17,105.41
15,2022-04-16,105.41
16,2022-04-15,105.41
17,2022-04-14,105.41
18,2022-04-13,105.41
19,2022-04-12,105.41
20,2022-04-11,105.41
21,2022-04-10,105.41
22,2022-04-09,105.41
23,2022-04-08,105.41
24,2022-04-07,105.41
25,2022-04-06,105.41
26,2022-04-05,104.61
27,2022-04-04,103.81
28,2022-04-03,103.41
29,2022-04-02,102.62
30,2022-04-01,101.82
31,2022-03-31,101.82
32,2022-03-30,101.02
33,2022-03-29,100.22
34,2022-03-28,99.42
35,2022-03-27,99.12
36,2022-03-26,98.62
37,2022-03-25,97.85
38,2022-03-24,97.05
39,2022-03-23,97.05
40,2022-03-22,96.25
41,2022-03-21,95.45
42,2022-03-20,95.45
43,2022-03-19,95.45
44,2022-03-18,95.45
45,2022-03-17,95.45
46,2022-03-16,95.45
47,2022-03-15,95.45
48,2022-03-14,95.45
49,2022-03-13,95.45
50,2022-03-12,95.45
51,2022-03-11,95.45
52,2022-03-10,95.45
53,2022-03-09,95.45
54,2022-03-08,95.45
55,2022-03-07,95.45
56,2022-03-06,95.45
57,2022-03-05,95.45
58,2022-03-04,95.45
59,2022-03-03,95.45
60,2022-03-02,95.45
61,2022-03-01,95.45
62,2022-02-28,95.45
63,2022-02-27,95.45
64,2022-02-26,95.45
65,2022-02-25,95.45
66,2022-02-24,95.45
67,2022-02-23,95.45
68,2022-02-22,95.45
69,2022-02-21,95.45
70,2022-02-20,95.45
71,2022-02-19,95.45
72,2022-02-18,95.45
73,2022-02-17,95.45
74,2022-02-16,95.45
75,2022-02-15,95.45
76,2022-02-14,95.45
77,2022-02-13,95.45
78,2022-02-12,95.45
79,2022-02-11,95.45
80,2022-02-10,95.45
81,2022-02-09,95.45
82,2022-02-08,95.45
83,2022-02-07,95.45
84,2022-02-06,95.45
85,2022-02-05,95.45
86,2022-02-04,95.45
87,2022-02-03,95.45
88,2022-02-02,95.45
89,2022-02-01,95.45
90,2022-01-31,95.45
91,2022-01-30,95.45
92,2022-01-29,95.45
93,2022-01-28,95.45
94,2022-01-27,95.45
95,2022-01-26,95.45
96,2022-01-25,95.45
97,2022-01-24,95.45
98,2022-01-23,95.45
99,2022-01-22,95.45
100,2022-01-21,95.45
101,2022-01-20,95.45
102,2022-01-19,95.45
103,2022-01-18,95.45
104,2022-01-17,95.45
105,2022-01-16,95.45
106,2022-01-15,95.45
107,2022-01-14,95.45
108,2022-01-13,95.45
109,2022-01-12,95.45
110,2022-01-11,95.45
111,2022-01-10,95.45
112,2022-01-09,95.45
113,2022-01-08,95.45
114,2022-01-07,95.45
115,2022-01-06,95.45
116,2022-01-05,95.45
117,2022-01-04,95.45
118,2022-01-03,95.45
119,2022-01-02,95.45
120,2022-01-01,95.45
121,2021-12-31,95.45
122,2021-12-30,95.45
123,2021-12-29,95.45
124,2021-12-28,95.45
