,date,price
0,2022-05-01,116.21
1,2022-04-30,116.21
2,2022-04-29,116.21
3,2022-04-28,116.21
4,2022-04-27,116.21
5,2022-04-26,116.21
6,2022-04-25,116.21
7,2022-04-24,116.21
8,2022-04-23,116.21
9,2022-04-22,116.21
10,2022-04-21,116.21
11,2022-04-20,116.21
12,2022-04-19,116.21
13,2022-04-18,116.21
14,2022-04-17,116.21
15,2022-04-16,116.21
16,2022-04-15,116.21
17,2022-04-14,116.21
18,2022-04-13,116.21
19,2022-04-12,116.21
20,2022-04-11,116.21
21,2022-04-10,116.21
22,2022-04-09,116.21
23,2022-04-08,116.21
24,2022-04-07,116.21
25,2022-04-06,116.21
26,2022-04-05,115.39
27,2022-04-04,114.56
28,2022-04-03,114.15
29,2022-04-02,113.32
30,2022-04-01,112.49
31,2022-03-31,112.49
32,2022-03-30,111.67
33,2022-03-29,110.84
34,2022-03-28,110.01
35,2022-03-27,109.7
36,2022-03-26,109.19
37,2022-03-25,108.37
38,2022-03-24,107.54
39,2022-03-23,107.54
40,2022-03-22,106.72
41,2022-03-21,105.89
42,2022-03-20,105.89
43,2022-03-19,105.89
44,2022-03-18,105.89
45,2022-03-17,105.89
46,2022-03-16,105.89
47,2022-03-15,105.89
48,2022-03-14,105.89
49,2022-03-13,105.89
50,2022-03-12,105.89
51,2022-03-11,105.89
52,2022-03-10,105.89
53,2022-03-09,105.89
54,2022-03-08,105.89
55,2022-03-07,105.89
56,2022-03-06,105.89
57,2022-03-05,105.89
58,2022-03-04,105.89
59,2022-03-03,105.89
60,2022-03-02,105.89
61,2022-03-01,105.89
62,2022-02-28,105.89
63,2022-02-27,105.89
64,2022-02-26,105.89
65,2022-02-25,105.89
66,2022-02-24,105.89
67,2022-02-23,105.89
68,2022-02-22,105.89
69,2022-02-21,105.89
70,2022-02-20,105.89
71,2022-02-19,105.89
72,2022-02-18,105.89
73,2022-02-17,105.89
74,2022-02-16,105.89
75,2022-02-15,105.89
76,2022-02-14,105.89
77,2022-02-13,105.89
78,2022-02-12,105.89
79,2022-02-11,105.89
80,2022-02-10,105.89
81,2022-02-09,105.89
82,2022-02-08,105.89
83,2022-02-07,105.89
84,2022-02-06,105.89
85,2022-02-05,105.89
86,2022-02-04,105.89
87,2022-02-03,105.89
88,2022-02-02,105.89
89,2022-02-01,105.89
90,2022-01-31,105.89
91,2022-01-30,105.89
92,2022-01-29,105.89
93,2022-01-28,105.89
94,2022-01-27,105.89
95,2022-01-26,105.89
96,2022-01-25,105.89
97,2022-01-24,105.89
98,2022-01-23,105.89
99,2022-01-22,105.89
100,2022-01-21,105.89
101,2022-01-20,105.89
102,2022-01-19,105.89
103,2022-01-18,105.89
104,2022-01-17,105.89
105,2022-01-16,105.89
106,2022-01-15,105.89
107,2022-01-14,105.89
108,2022-01-13,105.89
109,2022-01-12,105.89
110,2022-01-11,105.89
111,2022-01-10,105.89
112,2022-01-09,105.89
113,2022-01-08,105.89
114,2022-01-07,105.89
115,2022-01-06,105.89
116,2022-01-05,105.89
117,2022-01-04,105.89
118,2022-01-03,105.89
119,2022-01-02,105.89
120,2022-01-01,105.89
121,2021-12-31,105.89
122,2021-12-30,105.89
123,2021-12-29,105.89
124,2021-12-28,105.89
125,2021-12-27,105.89
126,2021-12-26,105.89
127,2021-12-25,105.89
128,2021-12-24,105.89
129,2021-12-23,105.89
130,2021-12-22,105.89
131,2021-12-21,105.89
132,2021-12-20,105.89
133,2021-12-19,105.89
134,2021-12-18,105.89
135,2021-12-17,105.89
136,2021-12-16,105.89
137,2021-12-15,105.89
138,2021-12-14,105.89
139,2021-12-13,105.89
140,2021-12-12,105.89
141,2021-12-11,105.89
142,2021-12-10,105.89
143,2021-12-09,105.89
