,date,price
0,2022-05-01,119.52
1,2022-04-30,119.52
2,2022-04-29,119.52
3,2022-04-28,119.52
4,2022-04-27,119.52
5,2022-04-26,119.52
6,2022-04-25,119.52
7,2022-04-24,119.52
8,2022-04-23,119.52
9,2022-04-22,119.52
10,2022-04-21,119.52
11,2022-04-20,119.52
12,2022-04-19,119.52
13,2022-04-18,119.52
14,2022-04-17,119.52
15,2022-04-16,119.52
16,2022-04-15,119.52
17,2022-04-14,119.52
18,2022-04-13,119.52
19,2022-04-12,119.52
20,2022-04-11,119.52
21,2022-04-10,119.52
22,2022-04-09,119.52
23,2022-04-08,119.52
24,2022-04-07,119.52
25,2022-04-06,119.52
26,2022-04-05,118.65
27,2022-04-04,117.77
28,2022-04-03,117.34
29,2022-04-02,116.46
30,2022-04-01,115.59
31,2022-03-31,115.59
32,2022-03-30,114.72
33,2022-03-29,113.84
34,2022-03-28,112.97
35,2022-03-27,112.64
36,2022-03-26,112.09
37,2022-03-25,111.27
38,2022-03-24,110.4
39,2022-03-23,110.4
40,2022-03-22,109.52
41,2022-03-21,108.65
42,2022-03-20,108.65
43,2022-03-19,108.65
44,2022-03-18,108.65
45,2022-03-17,108.65
46,2022-03-16,108.65
47,2022-03-15,108.65
48,2022-03-14,108.65
49,2022-03-13,108.65
50,2022-03-12,108.65
51,2022-03-11,108.65
52,2022-03-10,108.65
53,2022-03-09,108.65
54,2022-03-08,108.65
55,2022-03-07,108.65
56,2022-03-06,108.65
57,2022-03-05,108.65
58,2022-03-04,108.65
59,2022-03-03,108.65
60,2022-03-02,108.65
61,2022-03-01,108.65
62,2022-02-28,108.65
63,2022-02-27,108.65
64,2022-02-26,108.65
65,2022-02-25,108.65
66,2022-02-24,108.65
67,2022-02-23,108.65
68,2022-02-22,108.65
69,2022-02-21,108.65
70,2022-02-20,108.65
71,2022-02-19,108.65
72,2022-02-18,108.65
73,2022-02-17,108.65
74,2022-02-16,108.65
75,2022-02-15,108.65
76,2022-02-14,108.65
77,2022-02-13,108.65
78,2022-02-12,108.65
79,2022-02-11,108.65
80,2022-02-10,108.65
81,2022-02-09,108.65
82,2022-02-08,108.65
83,2022-02-07,108.65
84,2022-02-06,108.65
85,2022-02-05,108.65
86,2022-02-04,108.65
87,2022-02-03,108.65
88,2022-02-02,108.65
89,2022-02-01,108.65
